Microservices,CPU,mem,response,throughtput,timestamp
bookshop-purchases,28.6,705,177.5,3.467,21/07/2020 14:41
bookshop-purchases,29.5,818,96.58,2.733,21/07/2020 14:42
bookshop-purchases,30.1,820,97.86,4.6,21/07/2020 14:43
bookshop-purchases,29.6,821,292.5,1.967,21/07/2020 14:44
bookshop-books,48.8,4305,17180,3.514,21/07/2020 14:46
bookshop-purchases,30.6,823,38.16,0.833,21/07/2020 14:47
bookshop-purchases,31.7,824,26.03,1.7,21/07/2020 14:50
bookshop-ui,45.2,340,99.01,0.3,21/07/2020 14:51
bookshop-purchases,79.1,215,11.39,49.393,21/07/2020 15:46
bookshop-purchases,29.4,338,37.29,15.733,21/07/2020 15:47
bookshop-purchases,29.3,355,33.3,16.433,21/07/2020 15:48
bookshop-books,28.8,1877,5.204,33.333,21/07/2020 15:49
bookshop-purchases,53,388,1.064,45.5,21/07/2020 15:50
bookshop-books,31.4,2810,24.6,25.967,21/07/2020 15:51
bookshop-ui,75.6,330,1.258,86.767,21/07/2020 15:55
bookshop-ui,31.5,334,51.24,14.133,21/07/2020 15:57
bookshop-purchases,52,738,16.05,48.367,21/07/2020 16:00
bookshop-purchases,43.2,860,62.99,2.967,21/07/2020 16:06
bookshop-books,54,4309,6.129,4.812,21/07/2020 16:10
bookshop-purchases,26.7,659,85.52,0.9,22/07/2020 23:49
bookshop-ui,19.8,344,8.874,35.933,23/07/2020 00:29
bookshop-ui,26.8,345,16.83,3.4,23/07/2020 00:32
bookshop-purchases,27.3,693,95.49,0.533,23/07/2020 00:39
