Microservices,CPU,mem,response,throughtput,timestamp
bookshop-purchases,35,571,6.848,96.467,07/07/2020 20:13
bookshop-books,34.6,4302,1.253,191.56,07/07/2020 20:13
bookshop-ui,35.8,297,18.2,25.233,07/07/2020 20:13
bookshop-purchases,35.8,571,7.9,24.333,07/07/2020 20:13
bookshop-books,34.4,4303,4480,44.5,07/07/2020 20:13
bookshop-ui,35.2,297,5.041,9.567,07/07/2020 20:13
bookshop-purchases,35.2,571,15.23,10.033,07/07/2020 20:13
bookshop-books,35.2,4303,5587,18.531,07/07/2020 20:13
bookshop-ui,35.4,299,22.46,7.7,07/07/2020 20:13
bookshop-purchases,35.4,571,14.68,7.733,07/07/2020 20:13
bookshop-books,35.4,4303,7.002,14.871,07/07/2020 20:13
bookshop-ui,35.2,299,3.876,5.367,07/07/2020 20:13
bookshop-purchases,35.2,571,43.87,5.7,07/07/2020 20:13
bookshop-books,35.2,4303,3775,11.097,07/07/2020 20:13
bookshop-ui,34.9,299,33.07,3.733,07/07/2020 20:13
bookshop-purchases,35,571,10.67,4.433,07/07/2020 20:13
bookshop-books,35,4303,3779,8.323,07/07/2020 20:13
bookshop-ui,33,299,4.102,3.133,07/07/2020 20:13
bookshop-purchases,33.7,571,20.12,2.8,07/07/2020 20:13
bookshop-books,34.9,4303,1.787,6.806,07/07/2020 20:13
bookshop-ui,34.6,299,7.254,2.833,07/07/2020 20:13
bookshop-purchases,33.8,571,24.18,3.033,07/07/2020 20:13
bookshop-books,35.2,4304,1.623,5.4,07/07/2020 20:13
bookshop-ui,35.1,299,10.61,2.067,07/07/2020 20:13
bookshop-purchases,35.1,571,21.82,2.333,07/07/2020 20:13
bookshop-books,34.3,4304,2.561,4.2,07/07/2020 20:13
bookshop-ui,34.8,299,476.1,1.7,07/07/2020 20:13
bookshop-purchases,34.8,571,21.45,1.933,07/07/2020 20:13
bookshop-books,33,4305,1.353,3.333,07/07/2020 20:13
bookshop-ui,34.7,299,931.2,1.267,07/07/2020 20:13
bookshop-purchases,34.7,571,32.07,1.5,07/07/2020 20:13
bookshop-books,34.7,4305,5737,2.5,07/07/2020 20:13
bookshop-ui,34.9,299,3783,1.1,07/07/2020 20:13
bookshop-purchases,34.9,571,36.82,1.033,07/07/2020 20:13
bookshop-books,34.9,4305,1.805,1.967,07/07/2020 20:13
bookshop-ui,34.7,299,727.9,0.833,07/07/2020 20:13
bookshop-purchases,34.7,571,19.69,0.833,07/07/2020 20:13
bookshop-books,34.7,4305,2.295,301.73,07/07/2020 20:13
bookshop-ui,34.7,299,2.992,147.46,07/07/2020 20:13
bookshop-purchases,34.7,571,22,0.7,07/07/2020 20:13
bookshop-books,34.7,4305,1.126,1.167,07/07/2020 20:13
bookshop-ui,34.7,299,956.4,0.533,07/07/2020 20:13
bookshop-purchases,34.7,571,17.58,0.6,07/07/2020 20:13
bookshop-books,34.7,4305,7193,0.967,07/07/2020 20:13
bookshop-ui,34.7,299,7593,0.233,07/07/2020 20:13
bookshop-purchases,34.7,571,12.85,0.467,07/07/2020 20:13
bookshop-books,34.7,4305,5734,0.7,07/07/2020 20:13
bookshop-ui,34.5,299,2374,0.4,07/07/2020 20:13
bookshop-purchases,34.6,572,22.24,0.3,07/07/2020 20:13
bookshop-books,34.6,4306,6662,0.633,07/07/2020 20:13
bookshop-ui,33.2,299,8565,0.3,07/07/2020 20:13
bookshop-purchases,33.9,571,18.41,0.233,07/07/2020 20:13
bookshop-books,34.7,4306,1.957,314.13,07/07/2020 20:13
bookshop-ui,33.9,299,4.839,148.23,07/07/2020 20:13
bookshop-purchases,33.2,571,11.75,0.267,07/07/2020 20:13
bookshop-books,34.7,4306,7423,0.233,07/07/2020 20:13
bookshop-ui,34.7,299,1094,0.033,07/07/2020 20:13
bookshop-purchases,34.7,571,8.438,0.133,07/07/2020 20:13
bookshop-books,34.7,4306,1.98,297.23,07/07/2020 20:13
bookshop-ui,34.7,299,4.168,149.6,07/07/2020 20:13
bookshop-purchases,34.7,571,6.5,0.067,07/07/2020 20:13
bookshop-books,33.5,4306,2.182,317.9,07/07/2020 20:13
bookshop-ui,33.5,300,3.056,157,07/07/2020 20:13
bookshop-purchases,32.8,572,4.75,0.067,07/07/2020 20:13
bookshop-books,34.6,4306,955.5,0.133,07/07/2020 20:13
bookshop-ui,34.9,285,6.281,119.88,07/07/2020 20:15
bookshop-purchases,34.9,567,12.74,128.32,07/07/2020 20:15
bookshop-books,34.3,4315,3.245,236.57,07/07/2020 20:15
bookshop-ui,34.3,285,4.362,160.43,07/07/2020 20:15
bookshop-purchases,34.8,567,3.543,159.93,07/07/2020 20:15
bookshop-books,33.2,4315,2.371,319.83,07/07/2020 20:16
bookshop-ui,33.2,285,6.69,150.66,07/07/2020 20:16
bookshop-purchases,34.6,567,9.317,153.23,07/07/2020 20:16
bookshop-books,34.3,4315,2.065,305.23,07/07/2020 20:16
bookshop-ui,34.2,285,18.33,146.2,07/07/2020 20:16
bookshop-purchases,34.5,567,5.808,145.4,07/07/2020 20:16
bookshop-books,34.6,4315,3.459,292.23,07/07/2020 20:17
bookshop-ui,34.6,285,2.862,149.03,07/07/2020 20:17
bookshop-purchases,33.1,567,1.227,153.03,07/07/2020 20:17
bookshop-books,34.7,4315,2.455,301.1,07/07/2020 20:17
bookshop-ui,34.7,285,5.935,147.13,07/07/2020 20:17
bookshop-purchases,34,567,5.013,146.06,07/07/2020 20:17
bookshop-books,34.6,4315,2.211,294,07/07/2020 20:18
bookshop-ui,34.6,285,5.057,83.433,07/07/2020 20:18
bookshop-purchases,34.6,567,26.84,75.833,07/07/2020 20:18
bookshop-books,35.2,4315,13.19,142.14,07/07/2020 20:18
bookshop-ui,35.2,285,25.42,10.1,07/07/2020 20:18
bookshop-purchases,35.2,567,36.39,12.967,07/07/2020 20:18
bookshop-books,35.1,4315,1.381,23.394,07/07/2020 20:19
bookshop-ui,35.6,285,13.37,9.433,07/07/2020 20:19
bookshop-purchases,36.1,567,24.15,6.9,07/07/2020 20:19
bookshop-books,34.1,4313,2.389,16.935,07/07/2020 20:19
bookshop-ui,34.1,285,1.729,6.767,07/07/2020 20:19
bookshop-purchases,35.6,567,11.53,6.933,07/07/2020 20:19
bookshop-books,35.8,4313,3.199,12.613,07/07/2020 20:20
bookshop-ui,35.8,285,2.35,5.533,07/07/2020 20:20
bookshop-purchases,33.7,567,20.28,5.667,07/07/2020 20:20
bookshop-books,35.5,4313,1.574,10.194,07/07/2020 20:20
bookshop-ui,35.5,285,6.367,4.167,07/07/2020 20:20
bookshop-purchases,35.5,567,36.55,4.3,07/07/2020 20:20
bookshop-books,35.6,4313,7.104,7.742,07/07/2020 20:21
bookshop-ui,35.6,285,3.195,3.133,07/07/2020 20:21
bookshop-purchases,35.6,567,41.4,3.4,07/07/2020 20:21
bookshop-books,35.2,4313,1.058,6.033,07/07/2020 20:21
bookshop-ui,35.2,285,2.572,1.933,07/07/2020 20:21
bookshop-purchases,35.2,567,40.6,2.6,07/07/2020 20:21
bookshop-books,35.3,4313,476.7,4.833,07/07/2020 20:22
bookshop-ui,35.4,285,61.27,2,07/07/2020 20:22
bookshop-purchases,35.4,567,28.11,2.067,07/07/2020 20:22
bookshop-books,34.6,4313,3.8,158.1,07/07/2020 20:22
bookshop-ui,34.7,285,25.14,1.6,07/07/2020 20:22
bookshop-purchases,35.3,567,40.3,1.2,07/07/2020 20:22
bookshop-books,33.2,4314,180.4,2.806,07/07/2020 20:23
bookshop-ui,33.2,285,221.1,1.2,07/07/2020 20:23
bookshop-purchases,34.8,567,27.35,1.333,07/07/2020 20:23
bookshop-books,35,4314,7.214,2,07/07/2020 20:23
bookshop-ui,35,285,67.39,1,07/07/2020 20:23
bookshop-purchases,34.1,567,14.84,0.933,07/07/2020 20:23
bookshop-books,34.7,4314,7.664,1.733,07/07/2020 20:24
bookshop-ui,34.7,285,4.38,109.28,07/07/2020 20:24
bookshop-purchases,33.2,567,24.32,0.833,07/07/2020 20:24
bookshop-books,34.9,4314,2.422,239,07/07/2020 20:24
bookshop-ui,34.9,285,3.263,145.96,07/07/2020 20:24
bookshop-purchases,35,567,14.4,0.6,07/07/2020 20:24
bookshop-books,35,4314,2.725,1,07/07/2020 20:25
bookshop-ui,35,285,4.504,142.66,07/07/2020 20:25
bookshop-purchases,35,567,1.7,142.96,07/07/2020 20:25
bookshop-books,34.6,4314,1.237,285.5,07/07/2020 20:25
bookshop-ui,34.6,285,2.483,146.66,07/07/2020 20:25
bookshop-purchases,34.6,567,5.768,148.83,07/07/2020 20:25
bookshop-books,34.6,4314,2.996,297.1,07/07/2020 20:26
bookshop-ui,34.7,285,6.03,151.23,07/07/2020 20:26
bookshop-purchases,34.7,567,16.81,151,07/07/2020 20:26
bookshop-books,35.4,4314,4.09,301.53,07/07/2020 20:26
bookshop-ui,35.4,285,5.479,115.7,07/07/2020 20:26
bookshop-purchases,35.4,567,5.763,120.44,07/07/2020 20:26
bookshop-books,35.2,4314,4.342,235.39,07/07/2020 20:27
bookshop-ui,33.6,292,3.622,7.3,08/07/2020 15:23
bookshop-books,34.1,4301,0.996,14.29,08/07/2020 15:23
bookshop-purchases,34.9,574,25.68,6.1,08/07/2020 15:23
bookshop-ui,35.4,292,4.042,6,08/07/2020 15:23
bookshop-books,35,4301,1.077,11.71,08/07/2020 15:23
bookshop-purchases,34.2,574,11.39,4.867,08/07/2020 15:23
bookshop-ui,35.2,293,5.248,4.467,08/07/2020 15:24
bookshop-books,35.2,4302,2.506,9.129,08/07/2020 15:24
bookshop-purchases,35.2,574,15.08,2.9,08/07/2020 15:24
